,Financial_Planning,Financial_Goals,Analyze_Financial_Position,Tax_Saving_Schemes,Prompt_Installment_Payments,Profile_Risk,Recommended_Course
871,5,5,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
872,5,4,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
873,5,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
874,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
875,3,4,4,5,3,4,"Debt Management, Financial Planning"
876,3,4,4,4,3,2,"Debt Management, Financial Planning, Investment Basics"
877,3,3,4,4,4,3,"Budget & Savings, Financial Planning, Investment Basics"
878,4,5,4,2,5,4,"Debt Management, Investment Basics, Understanding Taxes"
879,3,4,4,3,4,5,"Financial Planning, Understanding Taxes"
880,3,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
881,3,3,4,2,3,4,"Budget & Savings, Debt Management, Financial Planning"
882,4,4,4,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
883,3,4,4,2,3,4,"Debt Management, Financial Planning, Understanding Taxes"
886,5,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
887,4,4,4,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
888,3,4,4,2,4,4,"Financial Planning, Understanding Taxes"
889,2,3,4,2,3,2,"Budget & Savings, Debt Management, Financial Planning"
890,4,4,4,5,3,3,"Debt Management, Investment Basics"
891,4,4,5,5,5,2,"Debt Management, Investment Basics, Understanding Taxes"
892,3,4,4,3,3,4,"Debt Management, Financial Planning, Understanding Taxes"
893,4,4,4,3,4,3,"Investment Basics, Understanding Taxes"
894,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
895,5,4,4,3,3,4,"Debt Management, Understanding Taxes"
896,4,3,5,2,4,4,"Budget & Savings, Understanding Taxes"
897,4,2,4,5,3,4,"Budget & Savings, Debt Management"
898,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
899,4,4,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
900,3,2,4,4,4,5,"Budget & Savings, Financial Planning"
901,3,3,3,2,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
902,2,3,4,3,3,2,"Budget & Savings, Debt Management, Financial Planning"
903,5,5,5,3,4,5,"Debt Management, Investment Basics, Understanding Taxes"
904,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
905,5,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
906,3,4,4,5,4,2,"Financial Planning, Investment Basics"
907,5,5,4,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
908,5,5,5,3,4,5,"Debt Management, Investment Basics, Understanding Taxes"
909,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
910,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
911,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
912,3,3,3,3,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
913,3,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
914,3,4,5,4,4,3,"Financial Planning, Investment Basics"
915,4,5,5,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
916,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
917,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
918,3,3,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
919,3,3,4,2,2,2,"Budget & Savings, Debt Management, Financial Planning"
920,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
921,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
922,4,3,4,3,3,4,"Budget & Savings, Debt Management, Understanding Taxes"
923,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
924,4,4,3,4,3,2,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
925,4,4,4,2,4,2,"Investment Basics, Understanding Taxes"
926,4,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
927,4,5,4,4,5,2,"Debt Management, Investment Basics, Understanding Taxes"
928,2,2,3,2,3,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
929,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
930,2,2,4,2,3,2,"Budget & Savings, Debt Management, Financial Planning"
931,3,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
932,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
933,3,4,4,3,3,4,"Debt Management, Financial Planning, Understanding Taxes"
934,3,5,5,4,3,3,"Debt Management, Financial Planning, Investment Basics"
935,2,2,3,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
936,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
937,4,4,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
938,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
939,4,5,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
940,4,5,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
941,5,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
942,3,2,4,5,2,4,"Budget & Savings, Debt Management, Financial Planning"
943,3,4,3,4,3,1,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
944,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
945,4,3,4,5,3,4,"Budget & Savings, Debt Management"
946,3,3,4,4,4,3,"Budget & Savings, Financial Planning, Investment Basics"
947,4,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
949,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
950,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
951,4,4,4,2,4,2,"Investment Basics, Understanding Taxes"
952,3,2,3,5,4,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
953,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
954,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
955,3,4,4,4,3,4,"Debt Management, Financial Planning"
956,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
957,5,5,5,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
958,3,4,3,4,3,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
959,5,5,5,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
960,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
961,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
962,4,5,4,3,3,2,"Debt Management, Investment Basics, Understanding Taxes"
963,3,4,4,3,4,4,"Financial Planning, Understanding Taxes"
964,4,3,4,3,3,3,"Budget & Savings, Debt Management, Investment Basics"
965,4,3,4,2,4,2,"Budget & Savings, Investment Basics, Understanding Taxes"
966,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
967,4,3,5,2,3,2,"Budget & Savings, Debt Management, Investment Basics"
968,2,4,4,5,3,4,"Debt Management, Financial Planning"
969,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
970,3,3,4,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
971,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
972,2,4,4,2,4,2,"Financial Planning, Investment Basics, Understanding Taxes"
973,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
974,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
975,3,4,4,1,3,2,"Debt Management, Financial Planning, Investment Basics"
976,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
977,3,3,3,4,2,3,"Budget & Savings, Debt Management, Financial Planning"
978,3,3,3,2,3,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
979,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
980,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
981,2,2,3,4,2,1,"Budget & Savings, Debt Management, Financial Planning"
982,4,4,3,4,3,2,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
983,4,3,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
984,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
985,4,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
986,3,4,4,2,4,4,"Financial Planning, Understanding Taxes"
987,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
988,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
989,4,4,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
990,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
991,4,4,4,5,3,3,"Debt Management, Investment Basics"
992,4,4,3,4,4,3,"Frugal Living and Spending Wisely, Investment Basics"
993,3,4,4,4,3,4,"Debt Management, Financial Planning"
994,3,2,3,5,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
995,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
996,3,3,4,3,2,3,"Budget & Savings, Debt Management, Financial Planning"
997,3,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
998,3,4,4,5,3,4,"Debt Management, Financial Planning"
999,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1000,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1001,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1002,3,3,3,3,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
1003,2,3,4,4,3,1,"Budget & Savings, Debt Management, Financial Planning"
1004,4,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1005,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1006,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1007,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1008,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1009,4,4,5,3,3,4,"Debt Management, Understanding Taxes"
1010,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1011,5,5,4,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1012,3,2,4,2,4,1,"Budget & Savings, Financial Planning, Investment Basics"
1013,4,5,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1014,4,3,4,2,3,1,"Budget & Savings, Debt Management, Investment Basics"
1015,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1016,2,3,4,3,4,2,"Budget & Savings, Financial Planning, Investment Basics"
1017,4,4,3,5,4,3,"Frugal Living and Spending Wisely, Investment Basics"
1018,4,4,5,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1019,2,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
1020,4,3,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1021,3,5,4,3,4,3,"Financial Planning, Investment Basics, Understanding Taxes"
1022,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1023,4,4,5,3,4,2,"Investment Basics, Understanding Taxes"
1024,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1025,2,4,4,5,4,3,"Financial Planning, Investment Basics"
1026,4,5,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1027,5,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1028,2,2,4,5,3,2,"Budget & Savings, Debt Management, Financial Planning"
1029,5,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1030,4,5,4,4,5,2,"Debt Management, Investment Basics, Understanding Taxes"
1031,2,3,4,2,3,2,"Budget & Savings, Debt Management, Financial Planning"
1032,4,3,5,4,3,5,"Budget & Savings, Debt Management"
1033,4,4,4,2,2,3,"Debt Management, Investment Basics, Understanding Taxes"
1034,3,4,4,4,4,2,"Financial Planning, Investment Basics"
1035,4,5,5,2,4,2,"Investment Basics, Understanding Taxes"
1036,4,5,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1037,3,3,3,3,2,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
1038,4,3,3,5,4,2,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
1039,3,4,3,4,3,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
1040,3,3,4,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
1041,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1042,3,4,3,4,3,3,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
1043,2,2,3,4,2,2,"Budget & Savings, Debt Management, Financial Planning"
1044,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1045,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1046,4,4,4,5,3,3,"Debt Management, Investment Basics"
1047,3,3,4,4,4,4,"Budget & Savings, Financial Planning"
1048,4,4,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1049,3,5,3,4,4,4,"Financial Planning, Frugal Living and Spending Wisely"
1050,3,3,2,4,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
1051,4,4,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1052,3,4,4,2,4,2,"Financial Planning, Investment Basics, Understanding Taxes"
1053,2,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1054,5,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1055,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1056,2,2,2,2,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
1057,4,4,4,4,5,4,"Debt Management, Investment Basics, Understanding Taxes"
1058,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1059,5,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1060,2,2,3,3,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
1061,3,5,4,4,4,2,"Financial Planning, Investment Basics"
1062,2,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1063,4,4,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1064,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1065,4,4,4,5,4,2,"Debt Management, Investment Basics, Understanding Taxes"
1066,3,3,3,5,3,3,"Budget & Savings, Debt Management, Financial Planning"
1067,4,3,4,5,3,4,"Budget & Savings, Debt Management"
1068,4,3,4,4,4,2,"Budget & Savings, Investment Basics"
1069,3,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1070,2,3,4,3,3,2,"Budget & Savings, Debt Management, Financial Planning"
1071,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1072,3,4,4,4,4,3,"Financial Planning, Investment Basics"
1073,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1075,5,5,5,2,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1076,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1077,3,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1078,4,4,4,2,3,4,"Debt Management, Understanding Taxes"
1079,4,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1080,3,3,4,4,3,4,"Budget & Savings, Debt Management, Financial Planning"
1081,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1082,3,4,4,2,4,2,"Financial Planning, Investment Basics, Understanding Taxes"
1083,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
1084,4,3,5,3,2,2,"Budget & Savings, Debt Management, Investment Basics"
1085,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1086,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1087,3,3,4,1,4,4,"Budget & Savings, Financial Planning, Understanding Taxes"
1088,5,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1089,4,3,4,4,4,2,"Budget & Savings, Investment Basics"
1090,3,3,3,4,2,3,"Budget & Savings, Debt Management, Financial Planning"
1091,3,2,3,4,2,2,"Budget & Savings, Debt Management, Financial Planning"
1092,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1093,5,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1094,4,5,4,3,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1095,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1096,4,3,4,4,3,2,"Budget & Savings, Debt Management, Investment Basics"
1097,4,5,5,2,4,3,"Investment Basics, Understanding Taxes"
1098,4,4,3,2,4,2,"Frugal Living and Spending Wisely, Investment Basics, Understanding Taxes"
1099,4,4,4,4,3,3,"Debt Management, Investment Basics"
1100,3,4,4,4,4,2,"Financial Planning, Investment Basics"
1101,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1102,4,4,4,3,3,4,"Debt Management, Understanding Taxes"
1103,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1104,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
1105,4,3,4,4,3,3,"Budget & Savings, Debt Management, Investment Basics"
1106,3,4,4,4,4,2,"Financial Planning, Investment Basics"
1107,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1108,5,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1109,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1110,3,4,4,5,4,3,"Financial Planning, Investment Basics"
1111,2,4,5,5,4,3,"Financial Planning, Investment Basics"
1112,4,3,3,4,3,3,"Budget & Savings, Debt Management, Frugal Living and Spending Wisely"
1113,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1114,3,3,4,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
1115,3,5,4,3,4,3,"Financial Planning, Investment Basics, Understanding Taxes"
1116,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1117,4,3,4,5,5,2,"Budget & Savings, Investment Basics"
1118,4,5,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1119,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1120,3,4,4,5,4,3,"Financial Planning, Investment Basics"
1121,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1122,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
1123,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1124,4,4,5,4,5,4,"Debt Management, Investment Basics, Understanding Taxes"
1125,3,4,3,4,4,4,"Financial Planning, Frugal Living and Spending Wisely"
1126,4,5,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1127,3,4,4,3,3,4,"Debt Management, Financial Planning, Understanding Taxes"
1128,3,2,3,5,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
1129,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1130,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1131,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1132,3,3,4,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
1133,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1134,2,3,4,5,4,4,"Budget & Savings, Financial Planning"
1135,3,3,5,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
1136,3,4,4,4,4,3,"Financial Planning, Investment Basics"
1137,4,3,5,5,3,4,"Budget & Savings, Debt Management"
1138,4,3,3,5,4,4,"Budget & Savings, Frugal Living and Spending Wisely"
1139,2,3,3,2,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
1140,3,3,4,4,4,3,"Budget & Savings, Financial Planning, Investment Basics"
1141,3,3,4,3,4,2,"Budget & Savings, Financial Planning, Investment Basics"
1142,1,4,4,4,4,3,"Financial Planning, Investment Basics"
1143,3,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
1144,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1145,4,4,4,2,3,5,"Debt Management, Understanding Taxes"
1146,3,4,4,5,3,3,"Debt Management, Financial Planning, Investment Basics"
1147,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1148,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1149,4,5,4,3,3,4,"Debt Management, Understanding Taxes"
1150,3,2,3,5,3,4,"Budget & Savings, Debt Management, Financial Planning"
1151,4,5,4,1,4,3,"Investment Basics, Understanding Taxes"
1152,2,2,3,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
1153,4,5,4,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
1154,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1155,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1156,4,4,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1157,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1158,3,4,4,4,2,3,"Debt Management, Financial Planning, Investment Basics"
1159,4,3,4,2,4,3,"Budget & Savings, Investment Basics, Understanding Taxes"
1160,5,5,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1161,4,5,5,4,4,1,"Debt Management, Investment Basics, Understanding Taxes"
1162,4,4,4,4,3,2,"Debt Management, Investment Basics"
1163,3,4,4,5,4,2,"Financial Planning, Investment Basics"
1164,4,5,5,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1165,4,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1166,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1167,4,5,5,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1168,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1169,4,4,4,5,4,2,"Debt Management, Investment Basics, Understanding Taxes"
1170,4,4,5,2,2,3,"Debt Management, Investment Basics, Understanding Taxes"
1171,4,5,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1172,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1173,3,3,4,2,3,4,"Budget & Savings, Debt Management, Financial Planning"
1174,4,3,3,3,2,3,"Budget & Savings, Debt Management, Frugal Living and Spending Wisely"
1175,4,4,4,4,5,3,"Debt Management, Investment Basics, Understanding Taxes"
1176,4,3,4,4,3,3,"Budget & Savings, Debt Management, Investment Basics"
1177,4,3,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1178,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1179,4,5,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1180,3,4,4,4,3,4,"Debt Management, Financial Planning"
1181,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1182,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1183,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1184,3,3,4,5,3,3,"Budget & Savings, Debt Management, Financial Planning"
1185,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1186,4,5,5,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1187,5,5,5,3,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1188,3,4,4,3,4,4,"Financial Planning, Understanding Taxes"
1189,4,4,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1190,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
1191,4,3,4,4,3,5,"Budget & Savings, Debt Management"
1192,3,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
1193,4,3,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1194,4,5,4,4,3,2,"Debt Management, Investment Basics"
1195,5,5,5,5,5,4,"Debt Management, Investment Basics, Understanding Taxes"
1196,3,3,4,3,2,4,"Budget & Savings, Debt Management, Financial Planning"
1197,4,3,3,4,3,2,"Budget & Savings, Debt Management, Frugal Living and Spending Wisely"
1198,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1199,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1200,3,4,4,4,4,2,"Financial Planning, Investment Basics"
1201,3,4,4,2,3,2,"Debt Management, Financial Planning, Investment Basics"
1202,4,5,5,3,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1203,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1204,3,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
1205,5,5,5,2,5,5,"Debt Management, Investment Basics, Understanding Taxes"
1206,4,3,5,4,3,3,"Budget & Savings, Debt Management, Investment Basics"
1207,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1208,1,2,1,4,2,2,"Budget & Savings, Debt Management, Financial Planning"
1209,4,4,4,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1210,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
1211,3,4,4,2,2,3,"Debt Management, Financial Planning, Investment Basics"
1212,2,3,4,4,3,1,"Budget & Savings, Debt Management, Financial Planning"
1213,4,5,5,5,5,4,"Debt Management, Investment Basics, Understanding Taxes"
1214,4,3,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1215,4,4,4,1,4,2,"Investment Basics, Understanding Taxes"
1216,4,4,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1217,4,4,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1218,3,4,5,5,2,4,"Debt Management, Financial Planning"
1219,3,4,4,4,3,4,"Debt Management, Financial Planning"
1220,4,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
1221,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1222,4,3,4,2,3,2,"Budget & Savings, Debt Management, Investment Basics"
1223,5,3,5,5,4,2,"Budget & Savings, Investment Basics"
1224,3,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1225,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1226,2,3,4,2,3,3,"Budget & Savings, Debt Management, Financial Planning"
1227,3,4,4,4,3,4,"Debt Management, Financial Planning"
1228,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1229,4,3,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1230,2,3,3,4,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
1231,2,3,4,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
1232,4,3,4,4,3,4,"Budget & Savings, Debt Management"
1233,2,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1234,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1235,3,4,4,2,3,3,"Debt Management, Financial Planning, Investment Basics"
1236,3,3,4,5,2,4,"Budget & Savings, Debt Management, Financial Planning"
1237,2,3,4,4,4,3,"Budget & Savings, Financial Planning, Investment Basics"
1238,5,4,4,5,4,2,"Debt Management, Investment Basics, Understanding Taxes"
1239,5,5,5,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1240,3,4,4,4,3,4,"Debt Management, Financial Planning"
1241,4,3,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
1242,4,4,4,5,4,2,"Debt Management, Investment Basics, Understanding Taxes"
1243,3,3,3,4,3,1,"Budget & Savings, Debt Management, Financial Planning"
